10:04:58.998 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
10:04:59.005 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
10:04:59.006 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:04:59.152 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
10:04:59.325 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13ad5cd3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1c33c17b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5bf0fe62, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1e097d59, org.springframework.test.context.support.DirtiesContextTestExecutionListener@673be18f, org.springframework.test.context.event.EventPublishingTestExecutionListener@6581dc0a]
10:04:59.690 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 50720 (started by 19732 in F:\springboot-xcy\springboot-wljy)
10:04:59.692 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
10:05:00.246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:05:00.249 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
10:05:00.272 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
10:05:00.568 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$4dc89870] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:05:00.911 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
10:05:01.056 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
10:05:03.011 [main] INFO  com.wljy.config.RedisConfig - 初始化 -> [Redis CacheErrorHandler]
10:05:03.872 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 4.509 seconds (JVM running for 6.118)
10:05:07.359 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
10:05:07.364 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
